Year,g_median,mean,median
1998,0.009285547137527191,0.02290074153748183,0.023122394563711027
1999,0.047291753933346815,0.0016089885242387466,-0.007135179357268215
2000,0.0077315710212303365,-0.00617062494922036,-0.00949417468393617
2001,-0.07587356568518573,-0.0016699980304456824,-0.005836611131984902
2002,0.011005773185736145,0.0021955250556081273,0.0029649729438238747
2003,0.021041216428492878,0.0040054716116475955,0.003694539992300937
2004,-0.0030198544436200957,-0.000624375678062963,0.00035133225286465385
2005,-0.009242154048569515,0.0002222733929392294,0.0011690642647463056
2006,-0.004554941838284866,-0.000697935361823015,-0.0003575898610458273
2007,-0.01331324897044656,0.0033900122853304476,0.0025188425781232644
2008,-0.011127499970470842,-0.0024290784396458582,-0.005094374513898087
2009,0.012840463597036179,0.003944138974929073,0.0024861672335111536
2010,-0.010134743318724873,0.0011236083567535678,0.0013040890053936998
2011,0.006733303852858836,-0.0001921291991085307,0.0015232455856819646
2012,0.011945987480472596,0.0013630909875260362,-0.0006405803035559631
2013,0.013200848505494779,0.0019114236715969915,0.0015062700477565102
2014,0.00187908141456023,-0.0009375479152669047,0.0011286652837405233
2015,-0.009147620458874194,0.003132676441696987,0.00035145342984445175
2016,-0.01977348535000678,0.00043968752772261926,0.00037918283490698663
2017,0.006906738749878865,0.0017269470970527124,0.002087547953526179
2018,0.010324966270701489,0.0021450368627525833,0.0025981960751436063
