Year,g_median,mean,median
1998,0.0027191077951227876,0.003930233554609633,0.004456242209562894
1999,0.0027274028183220493,0.0006930436478653377,0.0017960098052081863
2000,-0.003910480725800275,-0.0003613598171530304,-0.00021183841484736742
2001,-0.02101036447237042,-0.0005783210995435728,-0.00019721159556937475
2002,0.0012314192364290065,-0.0011018227282060282,-0.0009074527563491823
2003,0.010444297895404929,0.0009297106421547323,0.0009938464648787907
2004,0.003955587453441168,0.00034427226163280343,0.000881645597389783
2005,0.000793422248305636,0.00011287952099887459,0.00020464476985449672
2006,0.004882550533147522,0.0005160837032562449,0.0007548769826790392
2007,-0.0008254008766531912,0.0001388971271110166,0.0005972525743663331
2008,-0.005697239631962891,-0.0019825209626682834,-0.002200213008441427
2009,0.01316651005916802,0.0009357756142876193,0.0013478157538237745
2010,0.0009514058948315246,0.0004253747865972921,0.0012440923290850982
2011,0.0055932405653154995,1.5459662080437948e-05,0.0018802372728840078
2012,0.00828194691238449,0.0004110813014028434,0.0004941213388781134
2013,0.003115901231070322,0.001095655682598284,0.0014498567389100267
2014,-0.0013149514535779107,0.0004848169348749426,0.0011182933151552988
2015,-0.007718303793888599,-5.494474917974244e-05,0.00024700431407808645
2016,-0.010553513909756167,0.00036212585301561055,0.0004232620308019077
2017,0.0023312899251734538,0.0007094142310685871,0.0010157669177271692
2018,0.004230904640019377,0.0001526472767462299,0.0005117057234340567
